profile_id,n,fit,mean_grade
niche_soulslike_solo,50,0.4,1.52
coh_survival_craft,50,0.48,1.68
coh_mmo,50,0.48,1.68
coh_fps,50,0.5,1.74
seven_horror_coop,50,0.5,1.72
twenty_broad,50,0.5,1.64
two_cozy_puzzle,50,0.52,1.76
coh_grand_strategy,50,0.52,1.66
coh_vehicle_sim,50,0.52,1.7
mix2_coop_horror,50,0.54,1.64
niche_cozy_casual,50,0.54,1.76
mix2_crpg_sandbox,50,0.54,1.84
mix2_arcade_action,50,0.56,1.76
coh_indie_platformer,50,0.56,1.82
coh_classic_multi,50,0.58,1.8
seven_lowrev_indie,50,0.58,1.8
lowrev_towerdefense,50,0.6,1.78
lowrev_cozy_narrative,50,0.64,1.84
five_walking_sim,50,0.64,1.9
six_action_adv,50,0.64,1.96
coh_sports,50,0.64,1.92
longtail_metroidvania,50,0.66,2.04
mix2_colony_cozy,50,0.66,1.8
two_rhythm_arcade,50,0.66,1.82
coh_jrpg,50,0.68,2.02
mix2_soulslike_narrative,50,0.68,2.0
coh_openworld_survival,50,0.68,1.94
ten_cozy,50,0.68,1.96
ten_mixed_library,50,0.7,1.9
coh_strategy,50,0.7,2.08
coh_arpg,50,0.7,2.1
lowrev_deckbuilder,50,0.7,1.84
mix2_party_narrative,50,0.72,2.04
five_mixed_acclaimed,50,0.72,2.02
two_bigaction,50,0.72,2.02
lowrev_metroidvania,50,0.72,2.1
ten_jrpg,50,0.74,2.02
mix2_survival_farm,50,0.74,2.08
niche_sim,50,0.74,1.92
longtail_puzzle_platformer,50,0.74,2.06
mix2_puzzle_survival,50,0.74,1.96
niche_roguelite,50,0.76,2.02
five_coop_shooter,50,0.76,1.98
longtail_deckbuilder,50,0.76,1.92
coh_cozy,50,0.78,2.06
longtail_detective,50,0.78,2.1
niche_tactics,50,0.8,1.98
mix2_modern_roguelite,50,0.8,2.08
seven_automation,50,0.82,2.1
mix2_builder_sim,50,0.82,2.08
niche_puzzle_solo,50,0.84,2.16
lowrev_detective,50,0.88,2.12
