pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,좋아하는_게임_설명,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A13,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략","[Sid Meier’s Civilization® VI] 문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ‖ [XCOM® 2] XCOM 2는 수상 경력이 있는 전략 게임 XCOM: Enemy Unknown의 속편입니다. 인류가 외계인 침략군에게 항복한 지 20년, 이제 지구 상에는 새로운 세계 질서가 존재합니다. 수년간을 어둠 속에서 숨어 있었던 XCOM 부대는 반드시 일어나 외계인의 지배를 무너뜨릴 것입니다. ‖ [Stellaris] 항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 ",Pax Nova,"인디, 전략","A sci-fi turn-based 4X strategy game where you lead the fate of one of several factions divided between three races. Explore new worlds and new star systems filled with exciting secrets as well as dangers. Build cities, expand your influence and fight great battles on land and in space.",,,
B0002,A14,ELDEN RING / Disco Elysium - The Final Cut / Outer Wilds,"액션, RPG / RPG / 액션, 어드벤처","[ELDEN RING] 본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다. ‖ [Disco Elysium - The Final Cut] 디스코 엘리시움 - 최종판은 획기적인 오픈 월드 롤플레잉 게임입니다. 당신은 독특한 스킬 시스템을 갖춘 형사로서 오롯한 도시 블록을 당신의 미래를 닦기 위해 다듬을 수 있습니다. 잊지 못할 등장인물들을 심문하거나, 살인 사건을 해결하거나, 뇌물을 받으세요. 영웅이 되거나 인류의 완전한 재앙이 되세요. ‖ [Outer Wilds] Giant Bomb, Polygon, Eurogamer, The Guardian에 의해 2019년 올해의 게임에 이름을 올리며 냉정한 호평과 수상 실적이 있는 Outer Wilds는 무한 시간 루프에 갇힌 태양계에 관한 공개된 세계의 미스터리 게임입니다.",The Surge 2,"액션, RPG",살아남으려면 광대하게 펼쳐친 황량한 제리코 시티를 탐험하세요. 무자비하고 가차없는 전투 속에서 휘몰아치는 맹렬한 공격에 맞서 싸우며 상대의 사지를 찢어발긴 뒤 장비를 탈취하세요.,,,
B0003,A03,Balatro / Hades / Vampire Survivors,"캐주얼, 인디, 전략 / 액션, 인디, RPG / 액션, 캐주얼, 인디, RPG","[Balatro] 포커 로그라이크 게임. Balatro는 불법 포커 패로 게임을 하고, 판을 뒤엎는 조커를 발견하고, 아드레날린이 치솟는 강력한 콤보를 만드는 덱 빌딩 게임입니다. ‖ [Hades] Bastion, Transistor, Pyre의 제작사에서 선보이는 이 로그라이크 던전 탐색형 게임에서 핵 앤 슬래시로 지하 세계를 탈출하고 죽음의 신에게 도전하세요. ‖ [Vampire Survivors] 수많은 어둠의 피조물을 쓰러뜨리며 새벽이 올 때까지 생존하세요! Vampire Survivors는 로그라이트 요소를 갖춘 고딕 호러 케주얼 게임입니다. 당신의 선택으로 순식간에 수백 마리의 괴물이 눈덩이처럼 불어날 수 있죠.",바벨탑: 혼돈의 생존자들,"액션, 어드벤처, 인디, RPG, 전략",서바이버 액션 x 끝없는 파밍! 나만의 빌드를 만드는 로그라이트 액션 RPG,,,
B0004,A11,The Raven Remastered / The Frostrune / Mad Experiments: Escape Room,"어드벤처 / 어드벤처 / 어드벤처, 캐주얼, 인디, 시뮬레이션, 전략","[The Raven Remastered] London, 1964. An ancient ruby is stolen from the British Museum. At the crime scene: a raven feather. Is somebody trying to follow in the footsteps of The Raven, the legendary mast ‖ [The Frostrune] Unravel a mystery inspired by Viking myth and legend in The Frostrune, a classic point-and-click adventure based on historically accurate Norse culture and environments. ‖ [Mad Experiments: Escape Room] 수상 후보에 오른 이스케이프 게임 1인 또는 최대 5인까지 플레이하며 3개의 독특한 방을 탐험하고, 두뇌를 자극하는 퍼즐을 풀며 체셔 교수와 그의 실험에 얽힌 어두운 비밀을 밝혀보세요.",Call of the Sea,"어드벤처, 캐주얼, 인디",푸르른 낙원 같은 섬을 배경으로 펼쳐지는 어드벤처 퍼즐 게임에서 수수께끼의 질병에 시달리며 사라진 남편을 찾는 여성 노라를 따라가세요. 수수께끼와 사랑이 뒤섞인 감동적인 이야기 속에서 아름다운 배경에 흠뻑 빠져들어 금지된 비밀을 파헤쳐 보세요.,,,
B0005,A13,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략","[Sid Meier’s Civilization® VI] 문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ‖ [XCOM® 2] XCOM 2는 수상 경력이 있는 전략 게임 XCOM: Enemy Unknown의 속편입니다. 인류가 외계인 침략군에게 항복한 지 20년, 이제 지구 상에는 새로운 세계 질서가 존재합니다. 수년간을 어둠 속에서 숨어 있었던 XCOM 부대는 반드시 일어나 외계인의 지배를 무너뜨릴 것입니다. ‖ [Stellaris] 항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 ",Iron Marines,"액션, 캐주얼, 인디, 전략",공상과학 세계에서 펼쳐지는 실시간 전략 게임! 은하계에 당신이 필요합니다!,,,
B0006,A14,ELDEN RING / Disco Elysium - The Final Cut / Outer Wilds,"액션, RPG / RPG / 액션, 어드벤처","[ELDEN RING] 본 게임은 본격적인 다크 판타지 세계를 무대로 한 액션 RPG입니다. 드넓은 필드와 던전 탐험을 통해 미지의 것들을 발견해 보세요. 앞길을 막아서는 난관과 그것을 극복했을 때의 달성감, 그리고 등장인물들의 의도가 교착하는 군상극도 즐기실 수 있습니다. ‖ [Disco Elysium - The Final Cut] 디스코 엘리시움 - 최종판은 획기적인 오픈 월드 롤플레잉 게임입니다. 당신은 독특한 스킬 시스템을 갖춘 형사로서 오롯한 도시 블록을 당신의 미래를 닦기 위해 다듬을 수 있습니다. 잊지 못할 등장인물들을 심문하거나, 살인 사건을 해결하거나, 뇌물을 받으세요. 영웅이 되거나 인류의 완전한 재앙이 되세요. ‖ [Outer Wilds] Giant Bomb, Polygon, Eurogamer, The Guardian에 의해 2019년 올해의 게임에 이름을 올리며 냉정한 호평과 수상 실적이 있는 Outer Wilds는 무한 시간 루프에 갇힌 태양계에 관한 공개된 세계의 미스터리 게임입니다.",Eternal Strands,"액션, 어드벤처",흥미진진한 3인칭 액션 어드벤처 게임에서 다양한 마법과 강력한 무기들을 조합해 거대한 생물과 대규모 전투를 벌이며 무너져 가는 세계를 구원하세요.,,,
B0007,A15,Garry's Mod / Team Fortress 2 / Left 4 Dead 2,"캐주얼, 인디, 시뮬레이션 / 액션, 무료 플레이 / 액션","[Garry's Mod] Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play. ‖ [Team Fortress 2] 다양한 전술적 능력과 뚜렷한 개성을 갖춘 9가지 병과의 캐릭터를 플레이하세요. 끊임없이 업데이트되는 새로운 게임 모드, 맵, 장비 그리고 가장 중요한 모자까지 지금 바로 즐겨보세요! ‖ [Left 4 Dead 2] Set in the zombie apocalypse, Left 4 Dead 2 is a co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savanna",미드나잇 워커스,"액션, 인디, 앞서 해보기","치명적인 좀비들, 전리품이 가득한 하드코어 FPS 세계에서 싸우고, 약탈하고, 탈출하세요. 무기, 방어구, 소모품을 제작하고, 아이템을 거래하며 거대 복합 단지인 리버티 그랜드 센터에서 탈출해 살아남으세요.",,,
B0008,A07,Dordogne / A YEAR OF SPRINGS / Botany Manor,"어드벤처, 인디 / 캐주얼, 인디, 시뮬레이션 / 어드벤처","[Dordogne] 이 유년 시절의 여정에서 특별한 내러티브에 몰입하며 도르도뉴의 수천 가지 여름의 색을 탐험하고, 추억을 떠올리며 가족의 비밀을 밝히세요. ‖ [A YEAR OF SPRINGS] 세 명의 여성, 세 개의 이야기, 세 개의 봄. 세 명의 친구들이 사랑, 공감, 그리고 단지 함께하고 싶어하는 감정에 대한 방향을 찾아나가는 3 부작 비주얼 노벨 A YEAR OF SPRINGS 에서 하루, 에리카, 마나미의 이야기를 체험하세요. ‖ [Botany Manor] Welcome to Botany Manor, a stately home in 19th century England. You play as inhabitant Arabella Greene, a retired botanist. Explore your house and gardens, filled with research, t",Flowers -Le volume sur automne-,"어드벤처, 캐주얼","As the summer heat fades, Suoh Shirahane is just one step away from unraveling the mystery of why her beloved Amitie partner left in the spring.",,,
B0009,A02,Death's Door / Children of Morta / Roboquest / Spelunky 2 / Nuclear Throne / Streets of Rogue / Neon Abyss / Curse of the Dead Gods / Rogue Legacy 2 / Have a Nice Death,"액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 인디 / 액션, 인디 / 액션, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처, 인디, RPG / 액션, 어드벤처 / 액션, 어드벤처, 인디, RPG / 액션, 인디","[Death's Door] 죽은 자의 영혼을 수확하고 시간을 끝내는 것은 단조로울 수 있지만 까마귀에겐 평범한 일입니다. 하지만 주어진 영혼을 도둑맞게 되면 변화가 일어납니다. 영혼을 도난하고 죽음의 손길이 닿지 않는 영역으로 도망친 절망적인 도둑을 추적하십시오. ‖ [Children of Morta] Children of Morta는 비범한 가족 영웅에 대한 스토리 중심의 액션 RPG 게임입니다. 다가오는 부패에 맞서 모든 결함과 미덕을 갖춘 베르그송 가를 이끄세요. 여러분은 여러분이 아끼는 사람들을 구하기 위해 모든 것을 희생할 수 있으신가요? ‖ [Roboquest] 로보퀘스트는 멸망한 미래 세계의 빠른 FPS 로그라이트입니다. 당신은 재부팅된 수호자로, 강철 궁둥짝을 걷어 찰 준비를 하세요! 혼자서 혹은 친구와 함께 맞서거나 끊임없이 변화하는 환경에서 치명적인 로봇 군단을 섬멸하세요. ‖ [Spelunky 2] Spelunky 2 builds upon the unique, randomized challenges that made the original a roguelike classic, offering a huge adventure designed to satisfy players old and new. Meet the nex ‖ [Nuclear Throne] Nuclear Throne은 포스트 아포칼립스 세계관의 로그라이크 스타일 탑다운 슈터입니다. 여기서 말하는 포스트 아포칼립스는 '인류의 마지막 희망'이 남아 있는 세계가 아니라, '인류는 멸종했고 이제 돌연변이와 괴물들이 세상을 돌아다니는' 그런 세계입니다. 과연 당신은 뉴클리어 쓰론에 도달할 수 있을까요? ‖ [Streets of Rogue] 싸워서 몰래 들어가 임의 생성된 도시를 공격하세요. Nuclear Throne은 무법천지 GTA와 Deus Ex가 혼합된 형태입니다. Rogue-lite가 몰입도 높은 캐릭터를 만나 너무 재미있습니다. ‖ [Neon Abyss] Neon Abyss는 고속의 로그라이크 액션 플랫포머로, 하데스가 만든 '그림 스쿼드'의 일원이 되어 어비스로 총을 들고 뛰어드는 런 앤 건 게임입니다. 무한한 아이템 시너지와 던전 진화 시스템으로, 매번 게임을 할 때마다 다른 경험과 새로운 도전이 등장합니다. 진짜 지옥을 보여주세요! ‖ [Curse of the Dead Gods] 엄청난 부, 영원한 생명, 신성한 힘을 탐하는 마음이 당신을 끝없는 지옥 속의 미로, 치명적인 함정 및 몬스터가 우글거리는 이 저주받은 사원으로 이끌었습니다. ‖ [Rogue Legacy 2] 로그 레거시 2는 로그 레거시에 후속편을 끼얹은 작품입니다. 당신이 죽을 때마다 자식이 가업을 이어받습니다. 딸은 색맹 궁수이고 아들은 평화주의자 요리사일 수도 있죠. 어쨌거나 둘 중 한 명은 전장으로 나가야 합니다. ‖ [Have a Nice Death] Have a Nice Death는 과로에 고생하는 데스가 되어 플레이하는 2D 액션 로그라이크로, 통제 불능인 직원들 때문에 영혼의 균형과 데스의 휴가 계획이 틀어지고 말았습니다. 질서를 회복하려면 대낫을 들고 직원들과 서열 정리를 해야 합니다.",GUNTOUCHABLES,"액션, 인디","GUNTOUCHABLES은 1~4인용 하드코어 협동 액션 로그라이트 게임입니다. 플레이어는 끊임없이 진화하며, 새롭고 독특한 방식으로 플레이어를 죽이려고 하는 돌연변이 무리로부터 세상을 되찾기 위해 총으로 무장한 '프리퍼' 집단이 됩니다.",,,
B0010,A06,RimWorld / Oxygen Not Included / Unpacking 언패킹,"인디, 시뮬레이션, 전략 / 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션","[RimWorld] 지능형 AI 이야기꾼이 주도하는 공상과학 정착지 시뮬레이터입니다. 심리, 생태, 총격전과 근접전, 날씨, 기후, 외교, 사람 사이의 관계, 예술, 의학, 무역, 그 외 많은 것들을 시뮬레이션하여 이야기를 생성합니다. ‖ [Oxygen Not Included] Oxygen Not Included는 우주 콜로니 시뮬레이션 게임입니다. 외계의 우주 암석 깊은 곳에서 근면한 일꾼들은 생존하고 나아가 번영하기 위해 과학을 마스터하고, 낯선 새로운 생명체에 맞서며, 경이로운 우주 테크놀로지를 활용해야 합니다. ‖ [Unpacking 언패킹] Unpacking은 상자에서 짐을 꺼내 새집에 맞게 배치하는 친숙한 체험에 대한 명상적 퍼즐 게임입니다. 게임의 일부인 블록 맞추기 게임과 집 꾸미기를 하는 동안, 푸는 짐에 닮긴 삶의 실마리를 찾아가며 만족할 만한 생활 공간을 만들어 보세요.",Founders' Fortune,"인디, 시뮬레이션, 전략","자유로운 건축, 주민들의 심리와 근거지 방어에 집중한 환상의 개척지 시뮬레이터. 자원, 농업, 생산, 도구, 무기, 갑옷, 거래, 방어, 그리고 연구를 조절하세요. 물론 모든 주민들의 소원, 기대, 생각, 소유물도 말이죠.",,,
