pair_key,프로필,좋아하는_게임,좋아하는_게임_장르,좋아하는_게임_설명,추천_게임,추천_게임_장르,추천_게임_설명,적합도,이유태그,메모
B0001,A01,The Talos Principle / Rust / Inscryption,"액션, 어드벤처, 인디 / 액션, 어드벤처, 인디, 대규모 멀티플레이어, RPG / 어드벤처, 인디, 전략","[The Talos Principle] 탈로스 법칙은 철학적 SF 소설의 전통을 따른 1인칭 퍼즐 게임입니다. 시리어스 샘을 개발한 크로팀에서 만들었으며, 톰 주버트(FTL, 더 스와퍼)와 조나스 카이라츠(바다는 모든 것을 요구한다.)가 스토리를 작성했습니다. ‖ [Rust] Rust에서의 목표는 오직 하나, 바로 살아남는 것입니다. 섬의 야생 동물, 다른 주민, 환경, 다른 생존자 모두가 여러분의 목숨을 노립니다. 하루 더 살아남을 수 있다면 수단과 방법을 가리지 마세요. ‖ [Inscryption] Inscryption은 검은 잉크로 그려진 카드를 기반으로 한 덱빌딩 로그라이크, 방탈출 퍼즐, 피가 흐르는 심리적 공포 등의 요소가 섞인 여정을 다룹니다. 카드에는 더 어두운 비밀이 새겨져 있습니다…",Sol Cesto,"인디, 전략",Sol Cesto는 운을 지배해야 하는 정신없는 전술적 로그라이트 게임입니다. 영웅을 선택하고 무작위 던전 최하층에 도달해 보세요. 이 음울한 세계에서는 모든 행동에 결과가 따릅니다...,2,,
B0002,A03,Hardspace: Shipbreaker / Hacknet / The Case of the Golden Idol / 방 탈출 시뮬레이터 / shapez 2 - Factory,"시뮬레이션 / 인디, 시뮬레이션 / 어드벤처, 인디 / 어드벤처, 캐주얼, 인디, 시뮬레이션 / 캐주얼, 인디, 시뮬레이션, 전략","[Hardspace: Shipbreaker] Equipped with cutting-edge salvaging tech, carve & slice spaceships to recover valuable materials. Upgrade your gear to take on more lucrative contracts and pay your billion credit ‖ [Hacknet] Hacknet은 터미널 기반의 몰입형 해킹 시뮬레이터입니다. 최근에 사망한, 그러나 언론 보도와는 달리 사고로 사망하지 않은 해커의 지시에 따라 진실을 추척하십시오. ‖ [The Case of the Golden Idol] A new kind of detective game that allows you to think and investigate freely. Discover clues surrounding 12 strange and gruesome deaths and build your own theory. Pick your suspect ‖ [방 탈출 시뮬레이터] Escape Simulator는 단독 또는 온라인 협동 플레이가 가능한 1인칭 퍼즐 게임입니다. 점점 더 많아지는, 고도의 상호 작용이 가능한 방탈출 세트를 탐험하세요. 가구를 옮기고, 모든 것을 집어 들고 검사하고, 냄비를 부수고 자물쇠를 부수세요! 레벨 편집기를 통해 커뮤니티가 만든 방을 지원합니다. ‖ [shapez 2 - Factory] 공장 건설 게임에 빠져들어 보세요. 단 한 가지에 집중하세요. 대규모 우주 공장을 건설하는 것! 방대하게 펼쳐지는 다층 공장과 만족스러운 생산 라인을 무제한으로 설계하세요. 계속해서 어려워지는 자동화 목표를 적의 위협 없이 자신만의 속도로 달성하세요.",SIMULACRA,"어드벤처, 인디, 시뮬레이션",An interactive horror experience of exploring a missing woman’s phone.,3,,
B0003,A06,Forza Horizon 5 / Hi-Fi RUSH / Street Fighter 6,"액션, 어드벤처, 레이싱, 시뮬레이션, 스포츠 / 액션 / 액션, 어드벤처","[Forza Horizon 5] 세계 최고의 자동차를 타고 생동감 넘치는 멕시코의 대자연을 탐험하며 재미있는 드라이빙 액션을 마음껏 즐겨보세요. ‖ [Hi-Fi RUSH] 아케이드 챌린지! 업데이트!로 추가되는 두 개의 신규 게임 모드에서 여러분의 능력을 시험하고, 새로운 보상을 획득해 보세요. 몇 가지 비밀도 숨어 있답니다! 락 스타 지망생 차이가 되어 비트를 타고, 세상 모든 게 음악에 싱크되는 세계에서 오합지졸 팀과 함께 사악한 거대 기업에 맞서 싸우세요. ‖ [Street Fighter 6] 시리즈 최신작 『Street Fighter 6』, 2023년 6월 2일 발매 결정! RE ENGINE으로 개발된 본 작품은 대형 모드 「World Tour」, 「Fighting Ground」, 「Battle Hub」로 구성되어 있다. 새로운 「스트리트 파이터」에는 지금까지의 시리즈에는 없었던 새로운 체험이 기다리고 있다.",MY HERO ONE'S JUSTICE 2,액션,"''나의 히어로 아카데미아'의 대전 액션 게임으로서 호평을 받은 전작을 훨씬 뛰어넘는 볼륨으로 '나의 히어로 원즈 저스티스 2'가 등장! 스테이지를 종횡무진 누비며, '개성'을 구사해 초인적인 힘을 사용한 박력 넘치는 배틀을 체험하자!",3,,
B0004,A18,It Takes Two / Overcooked! 2 / What Remains of Edith Finch,"액션, 어드벤처 / 액션, 캐주얼, 인디 / 어드벤처, 인디","[It Takes Two] It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요. ‖ [Overcooked! 2] 혼란스러운 요리 액션으로 가득한 Overcooked가 돌아왔습니다! 양파 왕국으로 돌아가는 여행을 떠나세요. 클래식 협동 또는 온라인 플레이에서 셰프 팀을 만들어서 최대 4명까지 플레이하세요. 앞치마를 준비하세요... 다시 세상을 구할 때가 되었습니다! ‖ [What Remains of Edith Finch] What Remains of Edith Finch(워트 리메인스 오브 에디스 핀치)는 워싱턴 주에 있는 어느 가족에 대한 이상한 이야기의 모음입니다. 플레이어는 에디스가 되어 거대한 핀치 가택을 탐사하고, 가족사를 연구하며 이야기를 찾고, 왜 가족 중에서 그녀만 살아남았는지 알아내야 합니다. 각 이야기는 새로운 가족 구성",The Stillness of the Wind,"어드벤처, 인디","인생과 상실을 다루는 조용한 게임. 한 명씩, 모두가 마을을 떠나 도시로 갔습니다. 탈마를 제외하고 모두가 떠났죠. 말년에 접어든 탈마는 농가를 보살피며 소박하게, 근근이 살고 있었습니다. 그런데 도시에 있는 가족에게서 점점 충격적인 편지가 도착합니다.",3,,
B0005,A15,Sid Meier’s Civilization® VI / XCOM® 2 / Stellaris,"전략 / 전략 / 시뮬레이션, 전략","[Sid Meier’s Civilization® VI] 문명 VI 에서는 새로운 방식으로 세상과 소통하고, 제국의 영토를 확장시키며, 문화를 발전시키고, 역사속 위대한 지도자들에 맞서 오래도록 지속될 나만의 문명을 건설해볼 수 있습니다. 클레오파트라를 비롯한 20명의 역사 속 지도자들 중 한명으로 플레이 해보세요. ‖ [XCOM® 2] XCOM 2는 수상 경력이 있는 전략 게임 XCOM: Enemy Unknown의 속편입니다. 인류가 외계인 침략군에게 항복한 지 20년, 이제 지구 상에는 새로운 세계 질서가 존재합니다. 수년간을 어둠 속에서 숨어 있었던 XCOM 부대는 반드시 일어나 외계인의 지배를 무너뜨릴 것입니다. ‖ [Stellaris] 항성간 여행을 통해 우주를 탐험하며 수많은 종족들도 만나보세요. 과학선을 보내 우주를 조사하고 탐험하면서 은하 제국을 건설하고, 건축선을 보내 새로 발견한 행성에 기지를 건설하세요. 소속 사회를 위한 탐험에 나서 매장된 보물과 은하계의 경이를 발견하고, 탐험가의 한계치와 진화 범위를 설정하세요. 동맹이 체결되고, 전쟁이 ",BATTLETECH,"액션, 어드벤처, 전략",자신만의 용병 Mech 부대를 구축하고 Mech를 조종하는 MechWarrior들을 지휘해서 잔혹한 항성 간 전쟁 속으로 뛰어드세요.,3,,
B0006,A06,Forza Horizon 5 / Hi-Fi RUSH / Street Fighter 6,"액션, 어드벤처, 레이싱, 시뮬레이션, 스포츠 / 액션 / 액션, 어드벤처","[Forza Horizon 5] 세계 최고의 자동차를 타고 생동감 넘치는 멕시코의 대자연을 탐험하며 재미있는 드라이빙 액션을 마음껏 즐겨보세요. ‖ [Hi-Fi RUSH] 아케이드 챌린지! 업데이트!로 추가되는 두 개의 신규 게임 모드에서 여러분의 능력을 시험하고, 새로운 보상을 획득해 보세요. 몇 가지 비밀도 숨어 있답니다! 락 스타 지망생 차이가 되어 비트를 타고, 세상 모든 게 음악에 싱크되는 세계에서 오합지졸 팀과 함께 사악한 거대 기업에 맞서 싸우세요. ‖ [Street Fighter 6] 시리즈 최신작 『Street Fighter 6』, 2023년 6월 2일 발매 결정! RE ENGINE으로 개발된 본 작품은 대형 모드 「World Tour」, 「Fighting Ground」, 「Battle Hub」로 구성되어 있다. 새로운 「스트리트 파이터」에는 지금까지의 시리즈에는 없었던 새로운 체험이 기다리고 있다.",GUILTY GEAR,액션,"The origin of the series, the abnormality of the fighting game genre, now returns... HEAVEN or HELL？LET'S Rock！",3,,
B0007,A18,It Takes Two / Overcooked! 2 / What Remains of Edith Finch,"액션, 어드벤처 / 액션, 캐주얼, 인디 / 어드벤처, 인디","[It Takes Two] It Takes Two에서 생애 가장 정신없는 여정을 시작하세요. 친구가 무료로 참가할 수 있게 친구 패스*로 초대하고, 함께 힘을 합쳐서 수많은 유쾌하고 획기적인 게임 플레이 챌린지를 헤쳐나가세요. ‖ [Overcooked! 2] 혼란스러운 요리 액션으로 가득한 Overcooked가 돌아왔습니다! 양파 왕국으로 돌아가는 여행을 떠나세요. 클래식 협동 또는 온라인 플레이에서 셰프 팀을 만들어서 최대 4명까지 플레이하세요. 앞치마를 준비하세요... 다시 세상을 구할 때가 되었습니다! ‖ [What Remains of Edith Finch] What Remains of Edith Finch(워트 리메인스 오브 에디스 핀치)는 워싱턴 주에 있는 어느 가족에 대한 이상한 이야기의 모음입니다. 플레이어는 에디스가 되어 거대한 핀치 가택을 탐사하고, 가족사를 연구하며 이야기를 찾고, 왜 가족 중에서 그녀만 살아남았는지 알아내야 합니다. 각 이야기는 새로운 가족 구성",Dead Take,"어드벤처, 인디","Find your missing friend. Uncover the secrets within. Brave a luxurious and haunting mansion in Dead Take, a first-person psychological horror crafted by Surgent Studios.",2,,
B0008,A04,DOOMBLADE / Transiruby / Blast Brigade vs. the Evil Legion of Dr. Cread,"액션, 어드벤처, 인디 / 액션 / 액션, 어드벤처, 인디","[DOOMBLADE] Deep underground, Gloom Girl discovers DOOMBLADE, a sentient weapon hellbent on escape after eons in chains. Together, “Doom and Gloom” embark on a vengeful quest to unlock the pow ‖ [Transiruby] 차원 대륙의 의문을 풀어라! 는 사이보그 소녀 실비가 검과 엘리먼트 샷으로 적을 쓰러뜨리며 앞으로 나아가는 탐색형 액션 게임입니다! ‖ [Blast Brigade vs. the Evil Legion of Dr. Cread] 스릴 넘치는 플랫포밍과 깊이 있는 탐험 세계, 폭발적인 액션으로 가득한 2D 메트로이드배니아 어드벤처 게임을 즐겨보세요! Blast Brigade에서 영웅들로 팀을 구성해 세계를 구하세요!",Narita Boy,"어드벤처, 인디",Narita Boy의 세계를 여러분이 직접 가꿔보세요! Digital Kingdom 안에 소리 없이 갇혀 있는 전설적인 픽셀 영웅이 되어 역동적인 액션 어드벤처를 경험해보세요. Techno-sword의 숨겨진 비밀을 파헤쳐서 타락한 Stallions를 봉인하고 세상을 구하세요!,3,,
B0009,A12,Euro Truck Simulator 2 / BeamNG.drive / 아세토 코르사 Assetto Corsa,"인디, 시뮬레이션 / 레이싱, 시뮬레이션, 앞서 해보기 / 인디, 레이싱, 시뮬레이션, 스포츠","[Euro Truck Simulator 2] 도로의 왕이 되어 인상적인 거리를 가로질러 중요한 화물을 배달하는 트럭 운전사가 되어 유럽을 여행하세요! 탐험할 도시가 수십 개나 되므로, 당신의 인내심, 기술, 속도가 모두 한계에 도달할 것입니다. ‖ [BeamNG.drive] 뭐든지 할 수 있는 동적 소프트 보디 물리 시뮬레이터입니다. ‖ [아세토 코르사 Assetto Corsa] 아세토 코르사(Assetto Corsa) v1.16은 새로운 레이저 스캔 트랙 ""라구나 세카(Laguna Seca)"" 및 기다리던 Alfa Romeo Giulia Quadrifoglio를 포함한 7개의 신차를 소개합니다! 체인지로그에서 더 자세한 내용을 확인하세요!",RIDE 3,"레이싱, 시뮬레이션, 스포츠","RIDE 3로 가장 완벽한 레이싱을 경험하세요! 전 세계의 다양한 트랙에서 레이스를 펼치고, 마음에 드는 오토바이를 타고 속도의 한계에 도전해 보고, 새로운 상징 편집기로 취향에 따라 마음껏 개조하십시오.",2,,
B0010,A09,Hearts of Iron IV / Europa Universalis IV / Sid Meier's Civilization® V,"시뮬레이션, 전략 / 시뮬레이션, 전략 / 전략","[Hearts of Iron IV] Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the ‖ [Europa Universalis IV] 비교할 수 없는 자유도, 깊이 있는 스토리, 정확한 역사적 고증을 즐기며 국토를 다스리고 세계를 정복하세요. 세계 역사를 새롭게 쓰며 시대를 풍미할 제국을 만드세요. ‖ [Sid Meier's Civilization® V] Create, discover, and download new player-created maps, scenarios, interfaces, and more!",Through the Ages,"인디, 전략",Legendary board game classic from award winning designer Vlaada Chvátil,3,,
